0 0 -2.572891 -0.855468 1.717423    0.049600 -0.157196 0.131179   0.044379 
0 1 -2.572891 -0.853587 1.719303    -0.272416 -0.119249 -0.117010   0.102122 
0 2 -2.572891 -0.851864 1.721027    -0.080145 0.223713 -0.525100   0.332201 
0 3 -2.572891 -0.709018 1.863873    0.036255 -0.015587 0.149801   0.023998 
0 4 -2.572891 -0.635075 1.937816    -0.101185 -0.045339 0.017446   0.012598 
0 5 -2.572891 -0.632603 1.940287    -0.029669 -0.139296 -0.058083   0.023657 
0 6 -2.572891 -0.620564 1.952326    -0.063800 -0.093242 -0.062378   0.016655 
0 7 -2.572891 -0.574949 1.997941    0.147561 0.222882 0.090894   0.079712 
0 8 -2.572891 -0.571920 2.000970    -0.100486 -0.011766 -0.099000   0.020037 
0 9 -2.572891 -0.570634 2.002256    -0.111289 0.328826 -0.286003   0.202310 
1 0 -2.575945 -0.855468 1.720478    0.015514 0.421501 0.083861   0.184937 
1 1 -2.575945 -0.853587 1.722358    0.564811 0.243748 0.227981   0.430400 
1 2 -2.575945 -0.851864 1.724082    0.506045 -0.141591 -0.168736   0.304602 
1 3 -2.575945 -0.709018 1.866928    0.116645 0.198357 0.246579   0.113753 
1 4 -2.575945 -0.635075 1.940871    -0.101232 -0.081717 -0.044241   0.018883 
1 5 -2.575945 -0.632603 1.943342    0.120343 0.093577 -0.000852   0.023240 
1 6 -2.575945 -0.620564 1.955381    0.162518 0.159385 0.152279   0.075005 
1 7 -2.575945 -0.574949 2.000996    -0.392795 -0.337401 -0.221832   0.317337 
1 8 -2.575945 -0.571920 2.004025    0.153404 -0.128731 0.064882   0.044314 
1 9 -2.575945 -0.570634 2.005311    0.043230 -0.216164 0.021964   0.049078 
2 0 -2.576809 -0.855468 1.721342    -0.101711 0.337596 -0.333299   0.235404 
2 1 -2.576809 -0.853587 1.723222    0.346479 -0.152833 -0.376681   0.285294 
2 2 -2.576809 -0.851864 1.724945    -0.207654 0.294155 -0.082014   0.136374 
2 3 -2.576809 -0.709018 1.867791    0.247253 0.106179 0.184800   0.106559 
2 4 -2.576809 -0.635075 1.941735    -0.075646 0.066155 -0.000329   0.010099 
2 5 -2.576809 -0.632603 1.944206    0.134001 0.038476 0.082050   0.026169 
2 6 -2.576809 -0.620564 1.956245    0.198311 0.161227 0.125529   0.081079 
2 7 -2.576809 -0.574949 2.001860    -0.294374 0.193809 0.258193   0.190882 
2 8 -2.576809 -0.571920 2.004889    -0.010987 -0.245722 0.003531   0.060513 
2 9 -2.576809 -0.570634 2.006175    -0.068349 0.070247 0.000656   0.009607 
3 0 -2.714546 -0.855468 1.859078    0.189924 0.077924 0.394484   0.197761 
3 1 -2.714546 -0.853587 1.860959    0.298141 0.284294 0.056496   0.172903 
3 2 -2.714546 -0.851864 1.862682    -0.067002 0.010500 -0.110954   0.016910 
3 3 -2.714546 -0.709018 2.005528    0.465378 0.495192 -0.471651   0.684246 
3 4 -2.714546 -0.635075 2.079471    -0.323264 -0.267220 -0.238350   0.232717 
3 5 -2.714546 -0.632603 2.081943    -0.493311 -0.561467 -0.527604   0.836967 
3 6 -2.714546 -0.620564 2.093981    0.248876 0.213092 -0.106665   0.118725 
3 7 -2.714546 -0.574949 2.139597    -0.268449 -0.304310 -0.174225   0.195024 
3 8 -2.714546 -0.571920 2.142625    -0.055929 0.163258 0.449697   0.232009 
3 9 -2.714546 -0.570634 2.143912    0.503543 0.760321 0.812469   1.491749 
4 0 -2.719474 -0.855468 1.864006    -0.245964 0.172414 -0.113990   0.103219 
4 1 -2.719474 -0.853587 1.865887    0.202374 0.467543 0.346041   0.379296 
4 2 -2.719474 -0.851864 1.867610    -0.402506 -0.241913 -0.223316   0.270403 
4 3 -2.719474 -0.709018 2.010456    -0.529875 -0.266840 0.717972   0.867455 
4 4 -2.719474 -0.635075 2.084399    0.315226 0.318522 0.278385   0.278322 
4 5 -2.719474 -0.632603 2.086871    -0.043989 -0.016514 0.019585   0.002591 
4 6 -2.719474 -0.620564 2.098909    -0.265233 -0.146009 0.182600   0.125010 
4 7 -2.719474 -0.574949 2.144525    0.275409 0.348031 0.104010   0.207794 
4 8 -2.719474 -0.571920 2.147554    -0.136983 -0.011300 -0.081001   0.025453 
4 9 -2.719474 -0.570634 2.148840    0.469526 0.492240 0.101943   0.473148 
5 0 -2.723068 -0.855468 1.867600    -0.236145 -0.077525 0.047826   0.064062 
5 1 -2.723068 -0.853587 1.869481    -0.209665 -0.584026 -0.213876   0.430788 
5 2 -2.723068 -0.851864 1.871204    -0.056325 0.230523 0.144647   0.077236 
5 3 -2.723068 -0.709018 2.014050    -0.884690 0.889245 -0.163985   1.600324 
5 4 -2.723068 -0.635075 2.087993    0.302518 0.203232 0.267307   0.204274 
5 5 -2.723068 -0.632603 2.090465    -0.215603 -0.149560 -0.224310   0.119168 
5 6 -2.723068 -0.620564 2.102503    -0.130286 0.528847 0.134415   0.314721 
5 7 -2.723068 -0.574949 2.148119    -0.303181 -0.601200 -0.312353   0.550925 
5 8 -2.723068 -0.571920 2.151148    -0.187970 -0.020319 0.010675   0.035860 
5 9 -2.723068 -0.570634 2.152434    0.272732 -0.069716 0.074536   0.084799 
6 0 -2.729779 -0.855468 1.874312    0.042584 -0.075087 -0.253335   0.071630 
6 1 -2.729779 -0.853587 1.876192    -0.052666 0.159806 0.154333   0.052130 
6 2 -2.729779 -0.851864 1.877915    0.091426 0.350110 0.019595   0.131319 
6 3 -2.729779 -0.709018 2.020761    -0.074666 0.035893 0.042748   0.008691 
6 4 -2.729779 -0.635075 2.094704    0.407612 0.412595 0.431712   0.522757 
6 5 -2.729779 -0.632603 2.097176    -0.670102 -0.681170 -0.718775   1.429668 
6 6 -2.729779 -0.620564 2.109215    -0.083870 -0.033689 -0.004152   0.008186 
6 7 -2.729779 -0.574949 2.154830    0.084540 -0.239546 -0.009583   0.064621 
6 8 -2.729779 -0.571920 2.157859    -0.275082 0.196830 0.336482   0.227632 
6 9 -2.729779 -0.570634 2.159145    0.038479 0.741174 -0.197159   0.589691 
7 0 -2.735214 -0.855468 1.879746    -0.164661 0.088458 -0.035046   0.036166 
7 1 -2.735214 -0.853587 1.881627    -0.065955 -0.147770 0.013784   0.026376 
7 2 -2.735214 -0.851864 1.883350    0.399812 0.168351 0.045691   0.190280 
7 3 -2.735214 -0.709018 2.026196    0.251611 0.233769 -0.135510   0.136319 
7 4 -2.735214 -0.635075 2.100139    0.568859 0.484989 0.478224   0.787513 
7 5 -2.735214 -0.632603 2.102611    0.299891 0.322626 0.335614   0.306659 
7 6 -2.735214 -0.620564 2.114650    0.089385 0.087852 -0.038973   0.017227 
7 7 -2.735214 -0.574949 2.160265    0.611968 0.204079 -0.277148   0.492964 
7 8 -2.735214 -0.571920 2.163294    0.872686 0.122753 0.644771   1.192378 
7 9 -2.735214 -0.570634 2.164580    -0.175694 -0.250499 -0.535696   0.380588 
8 0 -2.755900 -0.855468 1.900432    0.108124 0.118996 0.181461   0.058779 
8 1 -2.755900 -0.853587 1.902312    0.036850 0.032781 0.062691   0.006363 
8 2 -2.755900 -0.851864 1.904036    0.001751 -0.034808 -0.040238   0.002834 
8 3 -2.755900 -0.709018 2.046882    0.304061 0.228766 0.204603   0.186649 
8 4 -2.755900 -0.635075 2.120825    -0.038483 0.050045 0.021898   0.004465 
8 5 -2.755900 -0.632603 2.123296    -0.015052 -0.017282 -0.051255   0.003152 
8 6 -2.755900 -0.620564 2.135335    0.090070 0.038175 0.050483   0.012118 
8 7 -2.755900 -0.574949 2.180950    -0.192502 -0.098046 -0.127617   0.062956 
